Year,Region,Students,School,Gender
2004,경북,212588,초등학교,전체
2005,경북,206141,초등학교,전체
2006,경북,201415,초등학교,전체
2007,경북,196170,초등학교,전체
2008,경북,187309,초등학교,전체
2009,경북,175577,초등학교,전체
2010,경북,164230,초등학교,전체
2011,경북,155146,초등학교,전체
2012,경북,144918,초등학교,전체
2013,경북,135237,초등학교,전체
2014,경북,131307,초등학교,전체
2015,경북,129743,초등학교,전체
2016,경북,127825,초등학교,전체
2017,경북,127642,초등학교,전체
2018,경북,129290,초등학교,전체
2019,경북,131374,초등학교,전체
2020,경북,129079,초등학교,전체
2021,경북,127912,초등학교,전체
2022,경북,127385,초등학교,전체
2023,경북,124051,초등학교,전체
2024,경북,117023,초등학교,전체
1999,경남,262965,초등학교,전체
2000,경남,269119,초등학교,전체
2001,경남,273581,초등학교,전체
2002,경남,278337,초등학교,전체
2003,경남,283632,초등학교,전체
2004,경남,280491,초등학교,전체
2005,경남,275274,초등학교,전체
2006,경남,270349,초등학교,전체
2007,경남,264776,초등학교,전체
2008,경남,254368,초등학교,전체
2009,경남,240129,초등학교,전체
2010,경남,227813,초등학교,전체
2011,경남,215383,초등학교,전체
2012,경남,202320,초등학교,전체
2013,경남,190166,초등학교,전체
2014,경남,186973,초등학교,전체
2015,경남,187075,초등학교,전체
2016,경남,185325,초등학교,전체
2017,경남,186619,초등학교,전체
2018,경남,191016,초등학교,전체
2019,경남,194606,초등학교,전체
2020,경남,190849,초등학교,전체
2021,경남,189176,초등학교,전체
2022,경남,187423,초등학교,전체
2023,경남,181600,초등학교,전체
2024,경남,171748,초등학교,전체
1999,제주,44510,초등학교,전체
2000,제주,46778,초등학교,전체
2001,제주,48850,초등학교,전체
2002,제주,50770,초등학교,전체
2003,제주,52144,초등학교,전체
2004,제주,52359,초등학교,전체
2005,제주,51671,초등학교,전체
2006,제주,50791,초등학교,전체
2007,제주,50047,초등학교,전체
2008,제주,48291,초등학교,전체
2009,제주,46028,초등학교,전체
2010,제주,44035,초등학교,전체
2011,제주,42143,초등학교,전체
2012,제주,40172,초등학교,전체
2013,제주,38235,초등학교,전체
2014,제주,37915,초등학교,전체
2015,제주,38164,초등학교,전체
2016,제주,38272,초등학교,전체
2017,제주,38901,초등학교,전체
2018,제주,40096,초등학교,전체
2019,제주,41068,초등학교,전체
2020,제주,40575,초등학교,전체
2021,제주,41328,초등학교,전체
2022,제주,41628,초등학교,전체
2023,제주,40531,초등학교,전체
2024,제주,38671,초등학교,전체
2000,전국,2129416,초등학교,남성
2001,전국,2170857,초등학교,남성
2002,전국,2195492,초등학교,남성
2003,전국,2213712,초등학교,남성
2004,전국,2177233,초등학교,남성
2005,전국,2123107,초등학교,남성
2006,전국,2063505,초등학교,남성
2007,전국,2007271,초등학교,남성
2008,전국,1919295,초등학교,남성
2009,전국,1814425,초등학교,남성
2010,전국,1723894,초등학교,남성
2011,전국,1634825,초등학교,남성
2012,전국,1538639,초등학교,남성
2013,전국,1448059,초등학교,남성
2014,전국,1415983,초등학교,남성
2015,전국,1404544,초등학교,남성
2016,전국,1380413,초등학교,남성
2017,전국,1379557,초등학교,남성
2018,전국,1396305,초등학교,남성
2019,전국,1412879,초등학교,남성
2020,전국,1384340,초등학교,남성
2021,전국,1372212,초등학교,남성
2022,전국,1366211,초등학교,남성
2023,전국,1333243,초등학교,남성
2024,전국,1277710,초등학교,남성
1999,서울,396739,초등학교,남성
2000,서울,400953,초등학교,남성
2001,서울,403765,초등학교,남성
2002,서울,401586,초등학교,남성
2003,서울,400870,초등학교,남성
2004,서울,388675,초등학교,남성
2005,서울,374204,초등학교,남성
2006,서울,360956,초등학교,남성
2007,서울,347028,초등학교,남성
2008,서울,329464,초등학교,남성
2009,서울,310952,초등학교,남성
2010,서울,294100,초등학교,남성
2011,서울,278034,초등학교,남성
2012,서울,260117,초등학교,남성
2013,서울,242705,초등학교,남성
2014,서울,236330,초등학교,남성
2015,서울,232428,초등학교,남성
2016,서울,224415,초등학교,남성
2017,서울,220464,초등학교,남성
2018,서울,218464,초등학교,남성
2019,서울,216816,초등학교,남성
2020,서울,210243,초등학교,남성
2021,서울,204682,초등학교,남성
2022,서울,201639,초등학교,남성
2023,서울,194842,초등학교,남성
2024,서울,185688,초등학교,남성
1999,부산,157132,초등학교,남성
2000,부산,158407,초등학교,남성
2001,부산,158506,초등학교,남성
2002,부산,157441,초등학교,남성
2003,부산,155782,초등학교,남성
2004,부산,149634,초등학교,남성
2005,부산,142303,초등학교,남성
2006,부산,134991,초등학교,남성
2007,부산,128718,초등학교,남성
2008,부산,120525,초등학교,남성
2009,부산,111147,초등학교,남성
2010,부산,104070,초등학교,남성
2011,부산,97064,초등학교,남성
2012,부산,89963,초등학교,남성
2013,부산,83725,초등학교,남성
2014,부산,80926,초등학교,남성
2015,부산,79822,초등학교,남성
2016,부산,78029,초등학교,남성
2017,부산,77816,초등학교,남성
2018,부산,78537,초등학교,남성
2019,부산,79967,초등학교,남성
2020,부산,78810,초등학교,남성
2021,부산,79125,초등학교,남성
2022,부산,79552,초등학교,남성
2023,부산,78040,초등학교,남성
2024,부산,75158,초등학교,남성
1999,대구,118681,초등학교,남성
2000,대구,120850,초등학교,남성
2001,대구,122309,초등학교,남성
2002,대구,122028,초등학교,남성
2003,대구,122725,초등학교,남성
2004,대구,119975,초등학교,남성
2005,대구,115528,초등학교,남성
2006,대구,110642,초등학교,남성
2007,대구,106696,초등학교,남성
2008,대구,101004,초등학교,남성
2009,대구,94954,초등학교,남성
2010,대구,89224,초등학교,남성
2011,대구,83553,초등학교,남성
2012,대구,77730,초등학교,남성
2013,대구,71874,초등학교,남성
2014,대구,69109,초등학교,남성
2015,대구,67610,초등학교,남성
2016,대구,65314,초등학교,남성
2017,대구,64691,초등학교,남성
2018,대구,64608,초등학교,남성
2019,대구,64988,초등학교,남성
2020,대구,63044,초등학교,남성
2021,대구,62217,초등학교,남성
2022,대구,62201,초등학교,남성
2023,대구,61270,초등학교,남성
2024,대구,59442,초등학교,남성
1999,인천,124742,초등학교,남성
2000,인천,128229,초등학교,남성
2001,인천,130761,초등학교,남성
2002,인천,131181,초등학교,남성
2003,인천,129469,초등학교,남성
2004,인천,124921,초등학교,남성
2005,인천,120572,초등학교,남성
2006,인천,116128,초등학교,남성
2007,인천,111948,초등학교,남성
2008,인천,107069,초등학교,남성
2009,인천,100536,초등학교,남성
2010,인천,95248,초등학교,남성
2011,인천,90104,초등학교,남성
2012,인천,85283,초등학교,남성
2013,인천,81650,초등학교,남성
2014,인천,80867,초등학교,남성
2015,인천,80761,초등학교,남성
2016,인천,79961,초등학교,남성
2017,인천,80288,초등학교,남성
2018,인천,81563,초등학교,남성
2019,인천,82563,초등학교,남성
2020,인천,80450,초등학교,남성
2021,인천,79721,초등학교,남성
2022,인천,79960,초등학교,남성
2023,인천,79321,초등학교,남성
2024,인천,77131,초등학교,남성
1999,광주,63454,초등학교,남성
2000,광주,66392,초등학교,남성
2001,광주,68957,초등학교,남성
2002,광주,71088,초등학교,남성
2003,광주,72743,초등학교,남성
2004,광주,72628,초등학교,남성
2005,광주,71331,초등학교,남성
2006,광주,69983,초등학교,남성
2007,광주,69131,초등학교,남성
2008,광주,66577,초등학교,남성
2009,광주,63363,초등학교,남성
2010,광주,60502,초등학교,남성
2011,광주,57310,초등학교,남성
2012,광주,53718,초등학교,남성
2013,광주,50041,초등학교,남성
2014,광주,48615,초등학교,남성
2015,광주,47768,초등학교,남성
2016,광주,46190,초등학교,남성
2017,광주,45638,초등학교,남성
2018,광주,45842,초등학교,남성
2019,광주,46066,초등학교,남성
2020,광주,44569,초등학교,남성
2021,광주,43863,초등학교,남성
2022,광주,43259,초등학교,남성
2023,광주,42038,초등학교,남성
2024,광주,40181,초등학교,남성
1999,대전,65460,초등학교,남성
2000,대전,67186,초등학교,남성
2001,대전,68806,초등학교,남성
2002,대전,69638,초등학교,남성
2003,대전,70374,초등학교,남성
2004,대전,70048,초등학교,남성
2005,대전,68780,초등학교,남성
2006,대전,67209,초등학교,남성
2007,대전,65972,초등학교,남성
2008,대전,63204,초등학교,남성
2009,대전,59947,초등학교,남성
2010,대전,56876,초등학교,남성
2011,대전,54106,초등학교,남성
2012,대전,51261,초등학교,남성
2013,대전,48611,초등학교,남성
2014,대전,47431,초등학교,남성
2015,대전,46177,초등학교,남성
2016,대전,44360,초등학교,남성
2017,대전,43405,초등학교,남성
2018,대전,42992,초등학교,남성
2019,대전,42568,초등학교,남성
2020,대전,41043,초등학교,남성
2021,대전,40070,초등학교,남성
2022,대전,39641,초등학교,남성
2023,대전,38540,초등학교,남성
2024,대전,36694,초등학교,남성
1999,울산,56116,초등학교,남성
2000,울산,58429,초등학교,남성
2001,울산,59620,초등학교,남성
2002,울산,60464,초등학교,남성
2003,울산,60931,초등학교,남성
2004,울산,59728,초등학교,남성
2005,울산,57920,초등학교,남성
2006,울산,55452,초등학교,남성
2007,울산,52984,초등학교,남성
2008,울산,50080,초등학교,남성
2009,울산,46552,초등학교,남성
2010,울산,43453,초등학교,남성
2011,울산,40630,초등학교,남성
2012,울산,37920,초등학교,남성
2013,울산,35575,초등학교,남성
2014,울산,34616,초등학교,남성
2015,울산,34757,초등학교,남성
2016,울산,34294,초등학교,남성
2017,울산,34409,초등학교,남성
2018,울산,35037,초등학교,남성
2019,울산,35539,초등학교,남성
2020,울산,34900,초등학교,남성
2021,울산,34659,초등학교,남성
2022,울산,34317,초등학교,남성
2023,울산,33559,초등학교,남성
2024,울산,32159,초등학교,남성
2013,세종,3601,초등학교,남성
2014,세종,4103,초등학교,남성
2015,세종,6789,초등학교,남성
2016,세종,9011,초등학교,남성
2017,세종,10483,초등학교,남성
2018,세종,12613,초등학교,남성
2019,세종,14134,초등학교,남성
2020,세종,15049,초등학교,남성
2021,세종,15785,초등학교,남성
2022,세종,16537,초등학교,남성
2023,세종,16756,초등학교,남성
2024,세종,16414,초등학교,남성
1999,경기,441389,초등학교,남성
2000,경기,463370,초등학교,남성
2001,경기,483015,초등학교,남성
2002,경기,500367,초등학교,남성
2003,경기,515575,초등학교,남성
2004,경기,516211,초등학교,남성
2005,경기,512106,초등학교,남성
2006,경기,504283,초등학교,남성
2007,경기,495670,초등학교,남성
2008,경기,478217,초등학교,남성
2009,경기,456703,초등학교,남성
2010,경기,440793,초등학교,남성
2011,경기,422808,초등학교,남성
2012,경기,401850,초등학교,남성
2013,경기,382711,초등학교,남성
2014,경기,377980,초등학교,남성
2015,경기,377607,초등학교,남성
2016,경기,374149,초등학교,남성
2017,경기,377272,초등학교,남성
2018,경기,386180,초등학교,남성
2019,경기,394704,초등학교,남성
2020,경기,390541,초등학교,남성
2021,경기,391241,초등학교,남성
2022,경기,392358,초등학교,남성
2023,경기,385281,초등학교,남성
2024,경기,371444,초등학교,남성
1999,강원,63031,초등학교,남성
2000,강원,63802,초등학교,남성
2001,강원,64491,초등학교,남성
2002,강원,65088,초등학교,남성
2003,강원,65198,초등학교,남성
2004,강원,64175,초등학교,남성
2005,강원,62898,초등학교,남성
2006,강원,61113,초등학교,남성
2007,강원,59986,초등학교,남성
2008,강원,57812,초등학교,남성
2009,강원,55001,초등학교,남성
2010,강원,52174,초등학교,남성
2011,강원,49467,초등학교,남성
2012,강원,46614,초등학교,남성
2013,강원,43491,초등학교,남성
2014,강원,41938,초등학교,남성
2015,강원,40731,초등학교,남성
2016,강원,39786,초등학교,남성
2017,강원,39159,초등학교,남성
2018,강원,38969,초등학교,남성
2019,강원,38920,초등학교,남성
2020,강원,37723,초등학교,남성
2021,강원,37199,초등학교,남성
2022,강원,36689,초등학교,남성
2023,강원,35526,초등학교,남성
2024,강원,33579,초등학교,남성
1999,충북,64436,초등학교,남성
2000,충북,65869,초등학교,남성
2001,충북,67097,초등학교,남성
2002,충북,68175,초등학교,남성
2003,충북,68737,초등학교,남성
2004,충북,68186,초등학교,남성
2005,충북,66810,초등학교,남성
2006,충북,64579,초등학교,남성
2007,충북,63311,초등학교,남성
2008,충북,61054,초등학교,남성
2009,충북,57778,초등학교,남성
2010,충북,54914,초등학교,남성
2011,충북,52221,초등학교,남성
2012,충북,49373,초등학교,남성
2013,충북,46180,초등학교,남성
2014,충북,44952,초등학교,남성
2015,충북,44241,초등학교,남성
2016,충북,43596,초등학교,남성
2017,충북,43584,초등학교,남성
2018,충북,44009,초등학교,남성
2019,충북,44645,초등학교,남성
2020,충북,43731,초등학교,남성
2021,충북,43031,초등학교,남성
2022,충북,42660,초등학교,남성
2023,충북,41602,초등학교,남성
2024,충북,39839,초등학교,남성
1999,충남,78013,초등학교,남성
2000,충남,79662,초등학교,남성
2001,충남,81253,초등학교,남성
2002,충남,81963,초등학교,남성
2003,충남,82616,초등학교,남성
2004,충남,82519,초등학교,남성
2005,충남,81775,초등학교,남성
2006,충남,80843,초등학교,남성
2007,충남,80387,초등학교,남성
2008,충남,78142,초등학교,남성
2009,충남,74977,초등학교,남성
2010,충남,72137,초등학교,남성
2011,충남,69211,초등학교,남성
2012,충남,66128,초등학교,남성
2013,충남,60312,초등학교,남성
2014,충남,59799,초등학교,남성
2015,충남,59831,초등학교,남성
2016,충남,59609,초등학교,남성
2017,충남,60500,초등학교,남성
2018,충남,62213,초등학교,남성
2019,충남,63225,초등학교,남성
2020,충남,61873,초등학교,남성
2021,충남,61163,초등학교,남성
2022,충남,60771,초등학교,남성
2023,충남,59384,초등학교,남성
2024,충남,57236,초등학교,남성
1999,전북,80745,초등학교,남성
2000,전북,82944,초등학교,남성
2001,전북,84236,초등학교,남성
2002,전북,84856,초등학교,남성
2003,전북,84972,초등학교,남성
2004,전북,83879,초등학교,남성
2005,전북,82307,초등학교,남성
2006,전북,80130,초등학교,남성
2007,전북,77858,초등학교,남성
2008,전북,74125,초등학교,남성
2009,전북,70338,초등학교,남성
2010,전북,65800,초등학교,남성
2011,전북,61932,초등학교,남성
2012,전북,58428,초등학교,남성
2013,전북,54528,초등학교,남성
2014,전북,52889,초등학교,남성
2015,전북,51860,초등학교,남성
2016,전북,50634,초등학교,남성
2017,전북,50333,초등학교,남성
2018,전북,50211,초등학교,남성
2019,전북,50310,초등학교,남성
2020,전북,48750,초등학교,남성
2021,전북,47787,초등학교,남성
2022,전북,46884,초등학교,남성
2023,전북,44839,초등학교,남성
2024,전북,42302,초등학교,남성
1999,전남,83796,초등학교,남성
2000,전남,85112,초등학교,남성
2001,전남,85840,초등학교,남성
2002,전남,86138,초등학교,남성
2003,전남,85993,초등학교,남성
2004,전남,84047,초등학교,남성
2005,전남,81615,초등학교,남성
2006,전남,79351,초등학교,남성
2007,전남,77044,초등학교,남성
2008,전남,73425,초등학교,남성
2009,전남,68994,초등학교,남성
2010,전남,64546,초등학교,남성
2011,전남,60320,초등학교,남성
2012,전남,55775,초등학교,남성
2013,전남,51484,초등학교,남성
2014,전남,49465,초등학교,남성
2015,전남,48781,초등학교,남성
2016,전남,47937,초등학교,남성
2017,전남,48033,초등학교,남성
2018,전남,48289,초등학교,남성
2019,전남,48551,초등학교,남성
2020,전남,47190,초등학교,남성
2021,전남,46424,초등학교,남성
2022,전남,46063,초등학교,남성
2023,전남,44224,초등학교,남성
2024,전남,41987,초등학교,남성
1999,경북,118424,초등학교,남성
2000,경북,119212,초등학교,남성
2001,경북,119402,초등학교,남성
2002,경북,118929,초등학교,남성
2003,경북,117668,초등학교,남성
2004,경북,114646,초등학교,남성
2005,경북,110684,초등학교,남성
2006,경북,107426,초등학교,남성
2007,경북,104089,초등학교,남성
2008,경북,99012,초등학교,남성
2009,경북,92692,초등학교,남성
2010,경북,86863,초등학교,남성
2011,경북,82092,초등학교,남성
2012,경북,76441,초등학교,남성
2013,경북,71222,초등학교,남성
2014,경북,69068,초등학교,남성
2015,경북,67927,초등학교,남성
2016,경북,66835,초등학교,남성
2017,경북,66538,초등학교,남성
2018,경북,67327,초등학교,남성
2019,경북,68192,초등학교,남성
2020,경북,66996,초등학교,남성
2021,경북,66318,초등학교,남성
2022,경북,65777,초등학교,남성
2023,경북,63929,초등학교,남성
2024,경북,60247,초등학교,남성
1999,경남,140746,초등학교,남성
2000,경남,144521,초등학교,남성
2001,경남,147245,초등학교,남성
2002,경남,150040,초등학교,남성
2003,경남,152863,초등학교,남성
2004,경남,150466,초등학교,남성
2005,경남,147195,초등학교,남성
2006,경남,143786,초등학교,남성
2007,경남,140274,초등학교,남성
2008,경남,134338,초등학교,남성
2009,경남,126360,초등학교,남성
2010,경남,120139,초등학교,남성
2011,경남,113804,초등학교,남성
2012,경남,106868,초등학교,남성
2013,경남,100101,초등학교,남성
2014,경남,97893,초등학교,남성
2015,경남,97464,초등학교,남성
2016,경남,96301,초등학교,남성
2017,경남,96742,초등학교,남성
2018,경남,98712,초등학교,남성
2019,경남,100518,초등학교,남성
2020,경남,98545,초등학교,남성
2021,경남,97666,초등학교,남성
2022,경남,96478,초등학교,남성
2023,경남,93306,초등학교,남성
2024,경남,88408,초등학교,남성
1999,제주,23284,초등학교,남성
2000,제주,24478,초등학교,남성
2001,제주,25554,초등학교,남성
2002,제주,26510,초등학교,남성
2003,제주,27196,초등학교,남성
2004,제주,27495,초등학교,남성
2005,제주,27079,초등학교,남성
2006,제주,26633,초등학교,남성
2007,제주,26175,초등학교,남성
2008,제주,25247,초등학교,남성
2009,제주,24131,초등학교,남성
2010,제주,23055,초등학교,남성
2011,제주,22169,초등학교,남성
2012,제주,21170,초등학교,남성
2013,제주,20248,초등학교,남성
2014,제주,20002,초등학교,남성
2015,제주,19990,초등학교,남성
2016,제주,19992,초등학교,남성
2017,제주,20202,초등학교,남성
2018,제주,20739,초등학교,남성
2019,제주,21173,초등학교,남성
2020,제주,20883,초등학교,남성
2021,제주,21261,초등학교,남성
2022,제주,21425,초등학교,남성
2023,제주,20786,초등학교,남성
2024,제주,19801,초등학교,남성
2000,전국,1890575,초등학교,여성
2001,전국,1918572,초등학교,여성
2002,전국,1942874,초등학교,여성
2003,전국,1961914,초등학교,여성
2004,전국,1938962,초등학교,여성
2005,전국,1899694,초등학교,여성
2006,전국,1861538,초등학교,여성
2007,전국,1822727,초등학교,여성
2008,전국,1752912,초등학교,여성
2009,전국,1659970,초등학교,여성
2010,전국,1575200,초등학교,여성
2011,전국,1497652,초등학교,여성
2012,전국,1413356,초등학교,여성
2013,전국,1335941,초등학교,여성
2014,전국,1312526,초등학교,여성
2015,전국,1310066,초등학교,여성
2016,전국,1292430,초등학교,여성
2017,전국,1294670,초등학교,여성
2018,전국,1315080,초등학교,여성
2019,전국,1334340,초등학교,여성
2020,전국,1309376,초등학교,여성
2021,전국,1300128,초등학교,여성
2022,전국,1298067,초등학교,여성
2023,전국,1270686,초등학교,여성
2024,전국,1217295,초등학교,여성
1999,서울,356867,초등학교,여성
2000,서울,358490,초등학교,여성
2001,서울,359202,초등학교,여성
2002,서울,357643,초등학교,여성
2003,서울,358140,초등학교,여성
2004,서울,348035,초등학교,여성
2005,서울,336932,초등학교,여성
2006,서울,328213,초등학교,여성
2007,서울,318199,초등학교,여성
2008,서울,304022,초등학교,여성
2009,서울,287562,초등학교,여성
2010,서울,272049,초등학교,여성
2011,서울,257914,초등학교,여성
2012,서울,241883,초등학교,여성
2013,서울,226687,초등학교,여성
2014,서울,221187,초등학교,여성
2015,서울,218247,초등학교,여성
2016,서울,211706,초등학교,여성
2017,서울,207869,초등학교,여성
2018,서울,206336,초등학교,여성
2019,서울,205477,초등학교,여성
2020,서울,199293,초등학교,여성
2021,서울,194753,초등학교,여성
2022,서울,191926,초등학교,여성
2023,서울,185597,초등학교,여성
2024,서울,177469,초등학교,여성
1999,부산,137573,초등학교,여성
2000,부산,136522,초등학교,여성
2001,부산,135179,초등학교,여성
2002,부산,133901,초등학교,여성
2003,부산,132392,초등학교,여성
2004,부산,128135,초등학교,여성
2005,부산,122780,초등학교,여성
2006,부산,117865,초등학교,여성
2007,부산,113475,초등학교,여성
2008,부산,106969,초등학교,여성
2009,부산,99679,초등학교,여성
2010,부산,93327,초등학교,여성
2011,부산,87919,초등학교,여성
2012,부산,82106,초등학교,여성
2013,부산,77096,초등학교,여성
2014,부산,74828,초등학교,여성
2015,부산,74461,초등학교,여성
2016,부산,73178,초등학교,여성
2017,부산,73047,초등학교,여성
2018,부산,74238,초등학교,여성
2019,부산,75622,초등학교,여성
2020,부산,74717,초등학교,여성
2021,부산,74796,초등학교,여성
2022,부산,75306,초등학교,여성
2023,부산,74179,초등학교,여성
2024,부산,71353,초등학교,여성
1999,대구,93501,초등학교,여성
2000,대구,95615,초등학교,여성
2001,대구,97754,초등학교,여성
2002,대구,99055,초등학교,여성
2003,대구,101124,초등학교,여성
2004,대구,100637,초등학교,여성
2005,대구,97684,초등학교,여성
2006,대구,95016,초등학교,여성
2007,대구,92775,초등학교,여성
2008,대구,88581,초등학교,여성
2009,대구,83075,초등학교,여성
2010,대구,78324,초등학교,여성
2011,대구,74140,초등학교,여성
2012,대구,69169,초등학교,여성
2013,대구,64435,초등학교,여성
2014,대구,62656,초등학교,여성
2015,대구,61973,초등학교,여성
2016,대구,60227,초등학교,여성
2017,대구,60017,초등학교,여성
2018,대구,60552,초등학교,여성
2019,대구,61134,초등학교,여성
2020,대구,59543,초등학교,여성
2021,대구,59091,초등학교,여성
2022,대구,59284,초등학교,여성
2023,대구,58729,초등학교,여성
2024,대구,57120,초등학교,여성
1999,인천,116040,초등학교,여성
2000,인천,117487,초등학교,여성
2001,인천,119503,초등학교,여성
2002,인천,119296,초등학교,여성
2003,인천,117577,초등학교,여성
2004,인천,113729,초등학교,여성
2005,인천,109495,초등학교,여성
2006,인천,106026,초등학교,여성
2007,인천,102723,초등학교,여성
2008,인천,98712,초등학교,여성
2009,인천,92674,초등학교,여성
2010,인천,88013,초등학교,여성
2011,인천,83494,초등학교,여성
2012,인천,79645,초등학교,여성
2013,인천,76268,초등학교,여성
2014,인천,75873,초등학교,여성
2015,인천,76338,초등학교,여성
2016,인천,75629,초등학교,여성
2017,인천,76182,초등학교,여성
2018,인천,77308,초등학교,여성
2019,인천,78290,초등학교,여성
2020,인천,76478,초등학교,여성
2021,인천,75550,초등학교,여성
2022,인천,75946,초등학교,여성
2023,인천,75762,초등학교,여성
2024,인천,73601,초등학교,여성
1999,광주,58356,초등학교,여성
2000,광주,60428,초등학교,여성
2001,광주,62459,초등학교,여성
2002,광주,64496,초등학교,여성
2003,광주,65901,초등학교,여성
2004,광주,66042,초등학교,여성
2005,광주,64978,초등학교,여성
2006,광주,64209,초등학교,여성
2007,광주,63488,초등학교,여성
2008,광주,61181,초등학교,여성
2009,광주,58227,초등학교,여성
2010,광주,55325,초등학교,여성
2011,광주,52450,초등학교,여성
2012,광주,49194,초등학교,여성
2013,광주,46014,초등학교,여성
2014,광주,44548,초등학교,여성
2015,광주,44094,초등학교,여성
2016,광주,42905,초등학교,여성
2017,광주,42551,초등학교,여성
2018,광주,42780,초등학교,여성
2019,광주,42924,초등학교,여성
2020,광주,41850,초등학교,여성
2021,광주,41135,초등학교,여성
2022,광주,40670,초등학교,여성
2023,광주,39692,초등학교,여성
2024,광주,37926,초등학교,여성
1999,대전,57517,초등학교,여성
2000,대전,58562,초등학교,여성
2001,대전,60121,초등학교,여성
2002,대전,61360,초등학교,여성
2003,대전,62361,초등학교,여성
2004,대전,61858,초등학교,여성
2005,대전,61172,초등학교,여성
2006,대전,60392,초등학교,여성
2007,대전,59611,초등학교,여성
2008,대전,57677,초등학교,여성
2009,대전,54674,초등학교,여성
2010,대전,52137,초등학교,여성
2011,대전,49746,초등학교,여성
2012,대전,47404,초등학교,여성
2013,대전,44787,초등학교,여성
2014,대전,44168,초등학교,여성
2015,대전,43287,초등학교,여성
2016,대전,41579,초등학교,여성
2017,대전,40835,초등학교,여성
2018,대전,40461,초등학교,여성
2019,대전,40175,초등학교,여성
2020,대전,38764,초등학교,여성
2021,대전,37814,초등학교,여성
2022,대전,37319,초등학교,여성
2023,대전,36348,초등학교,여성
2024,대전,34672,초등학교,여성
1999,울산,47225,초등학교,여성
2000,울산,48125,초등학교,여성
2001,울산,49266,초등학교,여성
2002,울산,50313,초등학교,여성
2003,울산,50978,초등학교,여성
2004,울산,50405,초등학교,여성
2005,울산,49138,초등학교,여성
2006,울산,47813,초등학교,여성
2007,울산,46297,초등학교,여성
2008,울산,44031,초등학교,여성
2009,울산,41141,초등학교,여성
2010,울산,38225,초등학교,여성
2011,울산,35966,초등학교,여성
2012,울산,33624,초등학교,여성
2013,울산,31581,초등학교,여성
2014,울산,31194,초등학교,여성
2015,울산,31377,초등학교,여성
2016,울산,31335,초등학교,여성
2017,울산,31607,초등학교,여성
2018,울산,32253,초등학교,여성
2019,울산,32973,초등학교,여성
2020,울산,32497,초등학교,여성
2021,울산,32260,초등학교,여성
2022,울산,32133,초등학교,여성
2023,울산,31544,초등학교,여성
2024,울산,30186,초등학교,여성
2013,세종,3489,초등학교,여성
2014,세종,3954,초등학교,여성
2015,세종,6564,초등학교,여성
2016,세종,8899,초등학교,여성
2017,세종,10281,초등학교,여성
2018,세종,12252,초등학교,여성
2019,세종,13758,초등학교,여성
2020,세종,14438,초등학교,여성
2021,세종,14941,초등학교,여성
2022,세종,15693,초등학교,여성
2023,세종,15858,초등학교,여성
2024,세종,15717,초등학교,여성
1999,경기,408525,초등학교,여성
2000,경기,425664,초등학교,여성
2001,경기,441127,초등학교,여성
2002,경기,456391,초등학교,여성
2003,경기,468312,초등학교,여성
2004,경기,469845,초등학교,여성
2005,경기,467524,초등학교,여성
2006,경기,462064,초등학교,여성
2007,경기,456238,초등학교,여성
2008,경기,442369,초등학교,여성
2009,경기,423438,초등학교,여성
2010,경기,407342,초등학교,여성
2011,경기,392119,초등학교,여성
2012,경기,373313,초등학교,여성
2013,경기,356908,초등학교,여성
2014,경기,354327,초등학교,여성
2015,경기,355752,초등학교,여성
2016,경기,353231,초등학교,여성
2017,경기,356669,초등학교,여성
2018,경기,366319,초등학교,여성
2019,경기,375040,초등학교,여성
2020,경기,371190,초등학교,여성
2021,경기,372671,초등학교,여성
2022,경기,374988,초등학교,여성
2023,경기,369203,초등학교,여성
2024,경기,355139,초등학교,여성
1999,강원,58686,초등학교,여성
2000,강원,58811,초등학교,여성
2001,강원,58611,초등학교,여성
2002,강원,59024,초등학교,여성
2003,강원,59107,초등학교,여성
2004,강원,58486,초등학교,여성
2005,강원,57204,초등학교,여성
2006,강원,55912,초등학교,여성
2007,강원,54987,초등학교,여성
2008,강원,52935,초등학교,여성
2009,강원,50479,초등학교,여성
2010,강원,47623,초등학교,여성
2011,강원,44975,초등학교,여성
2012,강원,42251,초등학교,여성
2013,강원,39696,초등학교,여성
2014,강원,38520,초등학교,여성
2015,강원,37683,초등학교,여성
2016,강원,36986,초등학교,여성
2017,강원,36563,초등학교,여성
2018,강원,36443,초등학교,여성
2019,강원,36697,초등학교,여성
2020,강원,35755,초등학교,여성
2021,강원,35174,초등학교,여성
2022,강원,34841,초등학교,여성
2023,강원,33772,초등학교,여성
2024,강원,32090,초등학교,여성
1999,충북,57540,초등학교,여성
2000,충북,58307,초등학교,여성
2001,충북,59080,초등학교,여성
2002,충북,60026,초등학교,여성
2003,충북,60438,초등학교,여성
2004,충북,60718,초등학교,여성
2005,충북,59778,초등학교,여성
2006,충북,58407,초등학교,여성
2007,충북,57687,초등학교,여성
2008,충북,55657,초등학교,여성
2009,충북,52979,초등학교,여성
2010,충북,50112,초등학교,여성
2011,충북,47681,초등학교,여성
2012,충북,45134,초등학교,여성
2013,충북,42680,초등학교,여성
2014,충북,41556,초등학교,여성
2015,충북,41049,초등학교,여성
2016,충북,40456,초등학교,여성
2017,충북,40656,초등학교,여성
2018,충북,41335,초등학교,여성
2019,충북,42064,초등학교,여성
2020,충북,41404,초등학교,여성
